Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGHM5;qValue;fold;log2(fold)
2267186;2267186;2269189;2269211;+;-;SCO2110;Ser/Thr protein kinase;335;314;0,258345526;1,066878981;0,093396536
4015200;4015264;4015701;4015701;+;-;SCO3637;hypothetical protein;72;45;0,261374709;1,6;0,678071905
1720261;1720261;1721469;1721573;+;-;SCO1609;hypothetical protein;97;76;0,261374709;1,276315789;0,351985329
;1490007;1487176;;-;-;SCO1402;large hypothetical protein;30;21;0,264801717;1,428571429;0,514573173
3654153;3654175;3655935;3655935;+;argS;SCO3304;arginyl-tRNA synthetase;229;201;0,266600815;1,139303483;0,188152097
6601173;6601234;6602355;6602445;+;-;SCO6019;hypothetical protein;485;437;0,266725015;1,109839817;0,150351468
;6531089;6530340;;-;-;SCO5959;cobalt transport integral membrane protein;76;47;0,266899501;1,617021277;0,693338662
4197520;4197520;4198176;4198230;+;-;SCO3818;two-component system response transcriptional regulator;40;78;0,267880772;0,512820513;-0,963474124
250691;250691;250164;250164;-;-;SCO0261;acetyltransferase;28;14;0,268883236;2;1
;4935685;4935104;;-;-;SCO4512;hypothetical protein;153;105;0,268883236;1,457142857;0,543142325
2896596;2896634;2897692;2897727;+;-;SCO2664;sugar-binding protein;121;98;0,269150569;1,234693878;0,304153393
471253;471209;470355;470355;-;-;SCO0451;hypothetical protein;44;29;0,270783419;1,517241379;0,601450624
;2119760;2120194;2120194;+;-;SCO1981;hypothetical protein;32;16;0,270972678;2;1
;4019882;4018503;;-;-;SCO3641;two-component system sensor kinase;78;58;0,270972678;1,344827586;0,427421224
1467761;1467761;1465266;1465265;-;-;SCO1388;mannose-1-phosphate guanyltransferase;223;203;0,270972678;1,098522167;0,135563983
8262071;8262071;8261520;8261520;-;-;SCO7447;acetyltranferase;35;20;0,272774993;1,75;0,807354922
6382802;6382802;6383974;;+;-;SCO5832;citrate synthase;39;27;0,272774993;1,444444444;0,530514717
2097446;2097318;2094274;2094270;-;uvrA;SCO1958;excinuclease ABC subunit A;268;253;0,272774993;1,059288538;0,083095616
1759872;1759865;1759272;;-;-;SCO1645;hypothetical protein;635;546;0,272774993;1,163003663;0,217855641
3090805;3090880;3091737;3091737;+;-;SCO2832;IclR family transcriptional regulator;120;88;0,273413485;1,363636364;0,447458977
3374672;3374675;3375484;3375484;+;-;SCO3080;hypothetical protein;55;37;0,27494418;1,486486486;0,571906348
3452610;;;3452642;+;-;predicted RNA;antisense: SCO3151;252;118;0,27494418;2,13559322;1,094636874
4661262;4661262;4660813;;-;-;SCO4252;hypothetical protein;215;154;0,277334879;1,396103896;0,481406309
8410216;8410198;8409626;8409626;-;-;SCO7584;transcriptional regulator;225;183;0,277334879;1,229508197;0,298081353
5465627;5465646;5467043;5467252;+;-;SCO5030;hypothetical protein;282;248;0,277334879;1,137096774;0,185355042
4295583;4295550;4294873;4294829;-;-;SCO3900;hypothetical protein;1180;1118;0,277334879;1,055456172;0,077866671
4451653;4451653;4452063;;+;-;SCO4060;hypothetical protein;29;15;0,279474802;1,933333333;0,9510904
;2322715;2324265;2324265;+;-;SCO2160;large membrane protein;30;20;0,279474802;1,5;0,584962501
7525613;7525613;7527583;;+;-;SCO6768;1-deoxy-D-xylulose-5-phosphate synthase;37;73;0,28263589;0,506849315;-0,980371193
2666921;2666940;2667869;2667938;+;-;SCO2475;LysR family transcriptional regulator;121;93;0,284109287;1,301075269;0,379704426
4347057;;;4347115;+;-;predicted RNA;-;152;328;0,284109287;0,463414634;-1,109624491
1760126;1760117;1759899;1759873;-;-;SCO1646;hypothetical protein;1782;1562;0,284109287;1,14084507;0,190102883
;8134770;8132296;8132244;-;-;SCO7326;hypothetical protein;49;39;0,286365151;1,256410256;0,329307625
5676345;5676345;5677670;5677670;+;-;SCO5218;hypothetical protein;81;61;0,286365151;1,327868852;0,409112665
;1759320;1758475;1758475;-;-;SCO1644;20S proteasome subunit beta;1007;952;0,286708476;1,057773109;0,081030205
4767684;4767684;4768676;4768693;+;-;SCO4352;oxidoreductase;414;370;0,28681089;1,118918919;0,162105497
1615253;1615300;1616367;1616367;+;-;SCO1511;hypothetical protein;769;731;0,286904437;1,051983584;0,073112192
4978603;4978495;4977869;4977869;-;-;SCO4560;polypetide deformylase;115;71;0,288338503;1,61971831;0,695742931
;1945493;1947016;;+;-;SCO1816;hypothetical protein;47;29;0,288816493;1,620689655;0,696607857
2812626;2812612;2812358;2812355;-;rpmA;SCO2596;50S ribosomal protein L27;4333;3919;0,288816493;1,105639194;0,144880664
5864620;5864593;5863553;;-;-;SCO5395;ABC transporter ATP-binding protein;125;102;0,289956138;1,225490196;0,293358943
4248081;4248081;4247800;4247781;-;-;SCO3862;hypothetical protein;3120;2939;0,289956138;1,061585573;0,08622067
4959381;4959303;4957723;4957592;-;-;SCO4541;hypothetical protein;150;98;0,290331396;1,530612245;0,614108846
2061905;2061905;2062975;2063213;+;-;SCO1930;integral membrane transport protein;655;626;0,290678772;1,046325879;0,065332249
7674795;7674795;7675178;7675178;+;-;SCO6909;hypothetical protein;31;16;0,290995864;1,9375;0,95419631
;2511071;2510508;;-;-;SCO2341;hypothetical protein;18;38;0,290995864;0,473684211;-1,078002512
5231927;5231927;5233081;5233162;+;-;SCO4805;hypothetical protein;125;97;0,290995864;1,288659794;0,365871442
2108282;2108117;2107239;2107239;-;-;SCO1967;hypothetical protein;42;28;0,292158064;1,5;0,584962501
;4953674;4955002;;+;-;SCO4535;hypothetical protein;81;61;0,292434112;1,327868852;0,409112665
;1718090;1716909;1716909;-;-;SCO1607;serine protease membrane protein;32;21;0,292489552;1,523809524;0,607682577
282157;282157;281129;;-;-;SCO0289;transcriptional regulator;34;22;0,292489552;1,545454545;0,628031223
1330916;1330916;1331578;1331578;+;-;SCO1260;two-component system response regulator;96;58;0,292489552;1,655172414;0,726981506
3649728;3649764;3650615;3650627;+;-;SCO3301;hypothetical protein;394;325;0,292489552;1,212307692;0,277755912
5950332;5950361;5950573;5950575;+;-;SCO5464;hypothetical protein;3156;3024;0,294670266;1,043650794;0,061639066
2532053;2532053;2529534;;-;-;SCO2362;hypothetical protein;45;35;0,294741826;1,285714286;0,362570079
4381949;4381949;4381065;;-;-;SCO3978;oxidoreductase;52;36;0,294741826;1,444444444;0,530514717
3350996;;;3350918;-;-;predicted RNA;-;115;248;0,294741826;0,463709677;-1,108706259
5837411;;;5837427;+;-;predicted RNA;-;1431;860;0,294741826;1,663953488;0,734615107
162661;162661;163119;163119;+;-;SCO0172;hypothetical protein;38;21;0,295397405;1,80952381;0,855610091
3107951;3107953;3108825;3108841;+;-;SCO2849;hypothetical protein;51;35;0,296648494;1,457142857;0,543142325
2109316;2109316;2109870;2109933;+;-;SCO1969;DNA-methyltransferase;301;218;0,296648494;1,380733945;0,465435352
5593493;5593690;5594361;;+;-;SCO5147;RNA polymerase sigma factor SigE;702;1743;0,299720246;0,402753873;-1,312029634
4273286;4273286;4273657;;+;-;SCO3881;ribonuclease P component;2229;2132;0,300300978;1,045497186;0,064189179
;8545981;8546727;8546727;+;-;SCO7710;phosphotransferase;28;16;0,300379377;1,75;0,807354922
5838313;;;5838324;+;-;predicted RNA;-;3641;2526;0,300379377;1,441409343;0,527480102
;2241793;2240702;2240694;-;mraY;SCO2087;phospho-N-acetylmuramoyl-pentapeptide-transferase;344;301;0,30050665;1,142857143;0,192645078
26385;26385;25843;;-;-;SCO0031;hypothetical protein;28;15;0,301418907;1,866666667;0,900464326
898686;898666;898034;;-;-;SCO0852;aldolase;99;61;0,301418907;1,62295082;0,698619283
5071215;;;5071290;+;-;SCOt51;Trp tRNA;167;89;0,301418907;1,876404494;0,907970862
5626402;5626423;5627601;5627627;+;-;SCO5178;molybdopterin biosynthesis-like protein MoeZ;819;767;0,301418907;1,06779661;0,094636874
6269833;;;6269740;-;-;predicted RNA;-;260;158;0,304019359;1,64556962;0,718587065
;5863556;5862780;5862709;-;-;SCO5394;ABC transporter;80;50;0,306996579;1,6;0,678071905
;197221;199917;199917;+;-;SCO0208;pyruvate phosphate dikinase;42;33;0,307017009;1,272727273;0,347923303
6003084;6003117;6004958;6004976;+;-;SCO5512;acetolactate synthase 1 catalytic subunit;58;44;0,307017009;1,318181818;0,398549376
1939010;1939010;1940242;1940422;+;-;SCO1808;phosphoserine phosphatase;257;207;0,307017009;1,241545894;0,312137592
743489;743575;743802;744450;+;-;SCO0703;regulator;617;490;0,307017009;1,259183673;0,33248874
7893323;7893258;7892704;7892218;-;-;SCO7102;hypothetical protein;616;516;0,307017009;1,19379845;0,255559285
8563058;8563058;8562591;;-;-;SCO7727;MarR family regulatory protein;36;20;0,307584462;1,8;0,847996907
250805;250805;251740;251740;+;-;SCO0262;LysR family transcriptional regulator;50;34;0,308315797;1,470588235;0,556393349
4936942;4936925;4936347;;-;-;SCO4514;hypothetical protein;98;62;0,308315797;1,580645161;0,660513534
5137428;5137655;5138968;;+;secY;SCO4722;preprotein translocase subunit SecY;561;543;0,308498033;1,033149171;0,047048573
6589542;6589575;6590690;6590690;+;-;SCO6009;solute-binding protein;364;329;0,309537335;1,106382979;0,145850866
5072827;5072851;5073285;5073292;+;rplK;SCO4648;50S ribosomal protein L11;2742;2472;0,310199516;1,109223301;0,149549828
;8103910;8103557;8103557;-;-;SCO7296;hypothetical protein;35;72;0,310264524;0,486111111;-1,040641984
7372700;7372683;7370866;;-;-;SCO6638;hypothetical protein;304;281;0,310450015;1,081850534;0,113501193
4511815;4511815;4512225;4512261;+;-;SCO4112;hypothetical protein;66;41;0,312679059;1,609756098;0,686842115
6099453;6099500;6099850;6099874;+;rplS;SCO5595;50S ribosomal protein L19;2994;2780;0,312679059;1,076978417;0,106989338
3663566;3663566;3663976;3664037;+;-;SCO3312;hypothetical protein;16;35;0,31347452;0,457142857;-1,129283017
4957301;;;4957274;-;-;predicted RNA;-;273;129;0,31347452;2,11627907;1,081529885
5829968;5830020;5830244;5830244;+;rpmE;SCO5359;50S ribosomal protein L31;3306;3206;0,31347452;1,031191516;0,044312299
;4980274;4980633;4980633;+;-;SCO4562;NADH dehydrogenase subunit A;34;18;0,317748127;1,888888889;0,91753784
;3222520;3220316;3220316;-;-;SCO2962;bifunctional transferase/deacetylase;45;33;0,318581332;1,363636364;0,447458977
5925698;5925698;5925132;5925050;-;-;SCO5445;hypothetical protein;149;103;0,318581332;1,446601942;0,532667993
;2746024;2745002;2744960;-;-;SCO2546;adenosine deaminase;115;93;0,319050636;1,23655914;0,30633124
4579778;4579824;4580561;4580671;+;-;SCO4163;hypothetical protein;163;134;0,319050636;1,21641791;0,282638964
3741220;3741220;3740711;3740639;-;-;SCO3376;N-acetylglutamate synthase;219;171;0,319050636;1,280701754;0,356934545
;8084169;8083750;8083750;-;-;SCO7275;hypothetical protein;10;24;0,319937785;0,416666667;-1,263034406
2248849;2248617;2247685;2247579;-;mraW;SCO2092;S-adenosyl-methyltransferase MraW;100;73;0,320500126;1,369863014;0,454031631
6359055;6359074;6361233;6361334;+;-;SCO5815;ATP-dependent DNA helicase;223;205;0,321447375;1,087804878;0,1214198
307475;307466;306816;306774;-;-;SCO0310;TetR family transcriptional regulator;37;22;0,321760656;1,681818182;0,750021747
3123676;3123679;3123906;3123913;+;-;SCO2867;hypothetical protein;69;38;0,321760656;1,815789474;0,860596943
2834775;2834725;2833700;2833700;-;-;SCO2610;rod shape-determining protein MreC;106;82;0,321760656;1,292682927;0,37036845
2168234;2168234;2167476;2167474;-;-;SCO2022;hypothetical protein;121;87;0,325276839;1,390804598;0,475919741
5252978;5252957;5252226;;-;-;SCO4821;hypothetical protein;93;58;0,32546067;1,603448276;0,681177816
2232894;;;2232850;-;-;predicted RNA;-;648;412;0,32546067;1,572815534;0,653349476
7231212;7231212;7230397;;-;-;SCO6536;hypothetical protein;36;23;0,32817715;1,565217391;0,646363045
7154038;7154053;7155195;7155294;+;-;SCO6466;transferase;89;67;0,32817715;1,328358209;0,409644241
4913246;4913249;4914412;4914453;+;-;SCO4494;hypothetical protein;351;320;0,32817715;1,096875;0,133399125
;4962778;4963845;4963845;+;-;SCO4547;hypothetical protein;360;323;0,328292851;1,114551084;0,156462742
912862;912862;912092;912092;-;-;SCO0865;hypothetical protein;84;52;0,328800287;1,615384615;0,691877705
4080650;4080650;4081045;4081098;+;-;SCO3703;substrate binding protein;105;73;0,328800287;1,438356164;0,524420959
2205747;2205747;2206487;2206487;+;-;SCO2057;hypothetical protein;148;116;0,328800287;1,275862069;0,351472371
4494029;4494136;4496358;4496374;+;-;SCO4096;ATP-dependent RNA helicase;451;427;0,328800287;1,056206089;0,078891364
883016;883014;882826;882816;-;-;SCO0834;hypothetical protein;109;64;0,329376895;1,703125;0,768184325
4140307;4140307;4141329;4141386;+;-;SCO3766;hypothetical protein;340;292;0,329376895;1,164383562;0,219566377
;6734480;6733884;6733884;-;-;SCO6132;hypothetical protein;36;67;0,329931632;0,537313433;-0,896164189
;1978354;1982007;;+;cobN;SCO1849;cobaltochelatase subunit CobN;155;145;0,331166008;1,068965517;0,096215315
2325028;2325064;2326248;2326272;+;-;SCO2162;quinolinate synthetase;1029;935;0,331586028;1,100534759;0,138204712
6465627;6465627;6467702;6467729;+;-;SCO5900;hypothetical protein;139;107;0,331695954;1,299065421;0,377474086
919775;919775;918438;918437;-;-;SCO0872;hypothetical protein;91;76;0,332582107;1,197368421;0,259867127
1029976;1029955;1028822;1028554;-;-;SCO0976;hypothetical protein;68;45;0,333455825;1,511111111;0,595609745
971320;971320;970589;970589;-;-;SCO0924;cytochrome B subunit;746;695;0,336812418;1,073381295;0,102162653
231020;231022;231465;231465;+;-;SCO0242;hypothetical protein;77;51;0,336826239;1,509803922;0,594361199
;5323709;5324101;5324101;+;-;SCO4889;cytidine deaminase;90;60;0,337275041;1,5;0,584962501
2813086;2812947;2812627;2812627;-;rplU;SCO2597;50S ribosomal protein L21;5058;4092;0,337275041;1,236070381;0,305760892
;4442968;4443588;;+;-;SCO4050;acetyltransferase;20;42;0,337910977;0,476190476;-1,070389328
1626032;1625924;1625358;;-;ruvC;SCO1520;Holliday junction resolvase;195;154;0,340349172;1,266233766;0,340543773
3920767;3920767;3920177;3920090;-;-;SCO3546;hypothetical protein;577;492;0,340349172;1,172764228;0,229913003
;3084248;3085231;;+;-;SCO2824;NAD-binding protein;30;19;0,340901609;1,578947368;0,658963082
4410971;4410971;4411894;4411942;+;-;SCO4015;hypothetical protein;114;88;0,340901609;1,295454545;0,373458396
6209620;6209640;6211343;6211609;+;-;SCO5699;prolyl-tRNA synthetase;329;309;0,340901609;1,064724919;0,090480746
2271952;2271915;2271664;2271605;-;-;SCO2114;hypothetical protein;315;598;0,340901609;0,526755853;-0,924793656
1580856;;;1580843;-;-;predicted RNA;-;2374;1556;0,341218298;1,525706941;0,609477875
8132216;8132178;8131786;8131687;-;-;SCO7325;anti-sigma factor antagonist;203;385;0,341471199;0,527272727;-0,923378718
1654264;1654167;1653340;1653340;-;-;SCO1545;acetyltransferase;96;65;0,342380276;1,476923077;0,562594688
5010058;5010046;5009444;5009305;-;-;SCO4587;hypothetical protein;157;116;0,342380276;1,353448276;0,436639754
4281610;4281551;4280583;4280545;-;-;SCO3890;thioredoxin reductase;459;427;0,342380276;1,074941452;0,104258084
805135;805135;805797;805797;+;-;SCO0760;methyltransferase;28;16;0,342752066;1,75;0,807354922
;8302514;8303314;;+;-;SCO7491;hypothetical protein;13;28;0,342752066;0,464285714;-1,106915204
4697284;4697318;4698292;4698506;+;-;SCO4282;dimeric protein;336;281;0,342752066;1,195729537;0,257891103
5147937;5147937;5148449;5148495;+;rpsI;SCO4735;30S ribosomal protein S9;2741;2371;0,342752066;1,156052299;0,209206665
6733707;6733691;6732336;6732302;-;-;SCO6131;carboxypeptidase;84;68;0,34275576;1,235294118;0,304854582
1622943;1622716;1621004;1621001;-;secD;SCO1516;preprotein translocase subunit SecD;235;215;0,34275576;1,093023256;0,128324097
1874625;1874625;1875647;1875647;+;-;SCO1753;hypothetical protein;285;225;0,34275576;1,266666667;0,341036918
5474791;5475026;5477176;5477198;+;-;SCO5039;penicillin-binding protein;153;128;0,344282737;1,1953125;0,257387843
4058096;4058105;4059337;4059337;+;-;SCO3675;hypothetical protein;67;47;0,344329634;1,425531915;0,511500339
2367728;2367728;2368099;2368099;+;-;SCO2201;hypothetical protein;99;67;0,344329634;1,47761194;0,56326743
8563625;8563625;8564623;8564623;+;-;SCO7729;hypothetical protein;104;80;0,344329634;1,3;0,378511623
8600881;8600881;8600297;8600172;-;-;SCO7772;hypothetical protein;194;156;0,344329634;1,243589744;0,314510623
6097611;6097613;6097852;6097862;+;-;SCO5592;hypothetical protein;4959;4567;0,344329634;1,085833151;0,118802436
;4990081;4990938;;+;-;SCO4571;NADH dehydrogenase subunit J;41;27;0,344650262;1,518518519;0,602664502
;1907228;1906323;1906323;-;ppnK;SCO1781;inorganic polyphosphate/ATP-NAD kinase;385;334;0,344650262;1,152694611;0,205010343
6532333;6532141;6531443;;-;-;SCO5961;cobalt transport protein CbiM;100;64;0,344769775;1,5625;0,64385619
2812351;2812247;2810811;2810810;-;obgE;SCO2595;GTPase ObgE;181;129;0,345733832;1,403100775;0,488618632
2269374;2269374;2270258;2270367;+;-;SCO2111;endonuclease;121;95;0,347076186;1,273684211;0,349007629
2799396;2799396;2802989;2802991;+;-;SCO2590;glycosyltransferase;86;71;0,348303259;1,211267606;0,276517635
2899165;2899173;2901884;2901887;+;-;SCO2666;Ser/Thr protein kinase;144;131;0,34948833;1,099236641;0,136502
2000460;;;2000490;+;-;predicted RNA;-;1587;1089;0,349660925;1,457300275;0,543298174
4389544;4389544;4389254;4389254;-;-;SCO3992;hypothetical protein;38;20;0,351289321;1,9;0,925999419
8285592;8285601;8286428;;+;-;SCO7473;phenylacetic acid degradation protein PaaC;67;43;0,352532957;1,558139535;0,639824436
4506952;;;4506666;-;-;predicted RNA;antisense: SCO4107;915;663;0,352532957;1,380090498;0,464762873
8531016;8531016;8531588;8531600;+;-;SCO7694;TetR family transcriptional regulator;61;41;0,352798289;1,487804878;0,573185333
1923750;1923750;1924289;1924318;+;-;SCO1794;hypothetical protein;1461;1445;0,352798289;1,011072664;0,015886685
1367555;1367555;1368913;1368913;+;-;SCO1293;hypothetical protein;32;23;0,355459391;1,391304348;0,476438044
;5450794;5451405;;+;-;SCO5015;hypothetical protein;30;17;0,356946612;1,764705882;0,819427754
3368494;3368334;3367747;3367728;-;-;SCO3074;hypothetical protein;199;165;0,356946612;1,206060606;0,270302406
2546747;2546758;2547645;2547661;+;-;SCO2376;hypothetical protein;306;229;0,356946612;1,336244541;0,418184055
2000908;2000962;2001804;2002244;+;-;SCO1867;hydroxylase;2169;1685;0,356946612;1,287240356;0,364281462
2420505;2420483;2419629;;-;-;SCO2253;hypothetical protein;57;39;0,356972241;1,461538462;0,547487795
2363039;2363105;2363320;2363401;+;-;SCO2195;hypothetical protein;194;137;0,357890745;1,416058394;0,501880759
2388858;2388844;2388485;2388408;-;-;SCO2225;isomerase;338;284;0,358053812;1,190140845;0,251132317
4252830;4252857;4257887;4257887;+;-;SCO3869;WD-40 repeat-containing protein;90;85;0,358674378;1,058823529;0,08246216
7266172;7266172;7267122;7267122;+;-;SCO6564;3-oxoacyl-ACP synthase;24;44;0,358832405;0,545454545;-0,874469118
4447156;4447284;4447970;4448046;+;-;SCO4054;hypothetical protein;394;295;0,358925482;1,33559322;0,417480675
6590691;6590859;6591641;;+;-;SCO6010;ABC transporter ATP-binding protein;145;119;0,361793488;1,218487395;0,285091327
340752;340752;341318;341336;+;-;SCO0337;transcriptional regulator;46;29;0,362452448;1,586206897;0,665580961
4107477;4107493;4107822;4108346;+;-;SCO3733;hypothetical protein;109;74;0,36378362;1,472972973;0,558730959
;1085351;1085824;1085824;+;-;SCO1027;hypothetical protein;35;20;0,364048237;1,75;0,807354922
2787017;2787290;2788498;2789089;+;-;SCO2582;hypothetical protein;259;216;0,364048237;1,199074074;0,261920786
;3845782;3844670;;-;-;SCO3481;hypothetical protein;34;24;0,364051846;1,416666667;0,502500341
1626803;1626785;1626033;1626033;-;-;SCO1521;hypothetical protein;1688;1544;0,364051846;1,093264249;0,128642151
3284812;3284812;3283865;;-;-;SCO3010;hypothetical protein;29;19;0,364286856;1,526315789;0,610053482
4940882;4940861;4939512;;-;-;SCO4518;hypothetical protein;154;105;0,364286856;1,466666667;0,552541023
3785440;3785358;3784717;3784717;-;-;SCO3419;hypothetical protein;177;146;0,364286856;1,212328767;0,277780991
3423946;3423989;3424963;3425042;+;-;SCO3123;ribose-phosphate pyrophosphokinase;1621;1346;0,364286856;1,204309064;0,268205681
5888283;5888283;5887579;5887579;-;-;SCO5418;transcriptional regulator;33;20;0,367686408;1,65;0,722466024
8453836;8453704;8452226;8452226;-;-;SCO7626;monooxygenase;81;68;0,367686408;1,191176471;0,252387162
6882242;6882242;6883390;6883458;+;-;SCO6260;sugar kinase;109;92;0,368849419;1,184782609;0,244622369
6467731;6467755;6469131;6469164;+;-;SCO5901;RNA methyltransferase;236;200;0,369545018;1,18;0,23878686
2539421;2539196;2538717;2538717;-;-;SCO2370;hypothetical protein;1413;1409;0,369545018;1,002838893;0,004089854
2104303;2104215;2102200;2102200;-;-;SCO1964;export associated protein;139;108;0,372958024;1,287037037;0,364053571
2283617;2283639;2284442;;+;-;SCO2123;esterase/lipase;173;140;0,372958024;1,235714286;0,305345211
4891996;4891996;4893720;4893778;+;-;SCO4474;hypothetical protein;254;240;0,373926332;1,058333333;0,081794091
639827;639859;640704;640904;+;-;SCO0600;RNA polymerase sigma factor sig8;458;422;0,373926332;1,085308057;0,118104599
4598540;4598629;4599504;;+;-;SCO4190;GntR family transcriptional regulator;125;100;0,374972501;1,25;0,321928095
4704585;4704590;4705072;4705400;+;-;SCO4289;hypothetical protein;232;189;0,375797163;1,227513228;0,295738571
8243950;8243950;8243600;8243600;-;-;SCO7429;hypothetical protein;15;33;0,376488044;0,454545455;-1,137503524
7130354;7130387;7131346;7131346;+;-;SCO6446;hypothetical protein;132;111;0,376488044;1,189189189;0,249978253
2169292;2169305;2170222;2170231;+;-;SCO2024;chitosanase;92;66;0,377310171;1,393939394;0,479167837
7530658;7530658;7529795;7529783;-;-;SCO6772;hypothetical protein;133;111;0,377310171;1,198198198;0,260866569
6574715;6574715;6573186;6572507;-;-;SCO5998;UDP-N-acetylglucosamine transferase;600;592;0,377310171;1,013513514;0,019365325
3439732;3439685;3438624;;-;-;SCO3138;galactose-1-phosphate uridylyltransferase;979;945;0,377310171;1,035978836;0,05099453
;1273700;1275238;;+;ligB;SCO1202;ATP-dependent DNA ligase;27;19;0,379755097;1,421052632;0,506959989
1030806;1030806;1030387;1030348;-;-;SCO0978;aspartate alpha-decarboxylase;103;74;0,379755097;1,391891892;0,477047162
2273583;2273596;2276427;2276463;+;-;SCO2116;hypothetical protein;123;109;0,380257978;1,128440367;0,174330181
;1790845;1793163;1793175;+;-;SCO1671;hypothetical protein;118;91;0,3813262;1,296703297;0,374848409
3832634;3832634;3831705;3831705;-;-;SCO3471;extracellular agarase;34;23;0,381383524;1,47826087;0,563900885
5170752;5170752;5169472;5169206;-;-;SCO4758;hypothetical protein;42;27;0,381383524;1,555555556;0,637429921
;1863882;1865048;;+;-;SCO1744;two-component system sensor kinase;26;17;0,382065794;1,529411765;0,612976877
4439794;4439791;4439198;;-;-;SCO4047;hypothetical protein;91;186;0,382065794;0,489247312;-1,031364171
2545471;2545471;2546691;2546708;+;-;SCO2375;hypothetical protein;121;95;0,382231445;1,273684211;0,349007629
8000617;8000617;7999751;;-;-;SCO7196;ion transport integral membrane protein;29;19;0,38261149;1,526315789;0,610053482
5904399;5904399;5903536;5903536;-;-;SCO5431;nucleosidase;25;46;0,38261149;0,543478261;-0,879705766
2107199;2107199;2105061;2104955;-;-;SCO1966;excinuclease ABC subunit B;176;162;0,38261149;1,086419753;0,119581616
;5138968;5139621;5139621;+;adk;SCO4723;adenylate kinase;1208;1213;0,385977099;0,995877988;-0,005959096
5089318;5089320;5089790;5089829;+;-;SCO4660;30S ribosomal protein S7;3499;2888;0,388171383;1,211565097;0,276871922
2756133;2756023;2755007;;-;hrcA;SCO2555;heat-inducible transcription repressor;703;706;0,389076468;0,995750708;-0,006143494
4259867;;;4259791;-;-;SCOt33;Ile tRNA;148;81;0,389110701;1,827160494;0,869603363
7518788;;;7518366;-;-;predicted RNA;antisense: SCO6762;233;451;0,389110701;0,516629712;-0,952797479
;2755006;2753870;2753807;-;-;SCO2554;chaperone protein DnaJ;511;498;0,389110701;1,026104418;0,037177549
5838576;;;5838599;+;-;predicted RNA;-;4688;3863;0,389110701;1,213564587;0,279250892
3995810;3995695;3994418;;-;-;SCO3615;aspartate kinase;959;897;0,390822861;1,069119287;0,09642283
3162697;3162697;3161747;3161742;-;-;SCO2910;cysteine synthase;93;69;0,391425658;1,347826087;0,430634354
2483079;;;2483061;-;-;predicted RNA;antisense: SCO2311;214;97;0,392050054;2,206185567;1,141554144
5031201;;;5030635;-;-;predicted RNA;antisense: SCO4607;390;268;0,39212187;1,455223881;0,541241123
4695467;4695536;4697197;4697197;+;-;SCO4281;hypothetical protein;324;309;0,39212187;1,048543689;0,068386975
1224672;1224677;1225594;1225706;+;-;SCO1165;hypothetical protein;72;47;0,394101408;1,531914894;0,61533615
6110680;6110413;6110051;6110051;-;-;SCO5610;hypothetical protein;89;59;0,394128657;1,508474576;0,593090382
187464;187459;187019;186964;-;-;SCO0197;hypothetical protein;85;60;0,394128657;1,416666667;0,502500341
3469467;3469459;3467222;3467222;-;-;SCO3166;membrane transport protein;39;74;0,394128657;0,527027027;-0,924051147
3928235;3928235;3927783;;-;-;SCO3552;hypothetical protein;28;15;0,396519204;1,866666667;0,900464326
5145963;5145963;5145064;5145004;-;-;SCO4732;hypothetical protein;137;117;0,396519204;1,170940171;0,227667363
1244913;1244920;1245774;;+;-;SCO1181;hypothetical protein;323;254;0,396519204;1,271653543;0,346705668
;3496079;3496558;;+;-;SCO3189;hypothetical protein;30;17;0,397490778;1,764705882;0,819427754
4869091;4869137;4870225;4870225;+;-;SCO4447;hypothetical protein;104;86;0,399062341;1,209302326;0,274174963
3115688;3115688;3115344;3115337;-;-;SCO2857;hypothetical protein;78;51;0,399135531;1,529411765;0,612976877
8435801;8435801;8436253;;+;-;SCO7608;hypothetical protein;56;36;0,399572581;1,555555556;0,637429921
4742777;4742777;4745905;4745957;+;-;SCO4331;hypothetical protein;102;87;0,400403804;1,172413793;0,229481846
8173861;8173887;8175416;8175416;+;-;SCO7361;DNA-binding protein;58;43;0,401345363;1,348837209;0,43171624
2131347;2131341;2130961;2130939;-;-;SCO1995;hypothetical protein;49;29;0,401471053;1,689655172;0,756728849
;2830656;2829460;2829423;-;-;SCO2607;Sfr protein;61;42;0,401471053;1,452380952;0,538419915
150471;150579;151571;151646;+;-;SCO0162;hypothetical protein;74;50;0,401471053;1,48;0,565597176
;7353207;7356839;7356856;+;-;SCO6627;hypothetical protein;133;127;0,401471053;1,047244094;0,066597749
7514896;7514896;7515657;7515657;+;-;SCO6758;ABC transporter ATP-binding protein;157;134;0,401471053;1,171641791;0,228531558
2225155;2225155;2224211;2224209;-;-;SCO2073;ribosomal large subunit pseudouridine synthase;337;288;0,401471053;1,170138889;0,22667978
1173674;1173674;1174600;1174627;+;-;SCO1116;hypothetical protein;358;312;0,401471053;1,147435897;0,198413558
3679991;3679946;3679848;3679829;-;-;SCO3327;hypothetical protein;2562;1876;0,401471053;1,365671642;0,449610648
2999795;2999879;3000925;3000998;+;-;SCO2753;LacI family transcriptional regulator;103;84;0,401999915;1,226190476;0,294183104
