Transcription Start;Translation Start;Translation Stop;Transcription Stop;Strand;Name;Synonym;Product;PS04;MGP10;qValue;fold;log2
;867035;867682;;+;-;SCO0817;hypothetical protein;5;8;1;0,625;-0,678071905
;3713731;3714135;;+;-;SCO3354;hypothetical protein;5;8;1;0,625;-0,678071905
;293613;294497;;+;-;SCO0299;oxidoreductase;6;8;1;0,75;-0,415037499
;447161;446214;;-;-;SCO0429;oxidoreductase;6;8;1;0,75;-0,415037499
;598655;597132;;-;-;SCO0556;hypothetical protein;6;8;1;0,75;-0,415037499
;1702388;1701846;;-;-;SCO1592;hypothetical protein;6;8;1;0,75;-0,415037499
;2150635;2151567;;+;-;SCO2009;branched-chain amino acid ABC transporter permease;6;8;1;0,75;-0,415037499
;4177901;4176813;;-;-;SCO3797;hypothetical protein;6;8;1;0,75;-0,415037499
;4897544;4898155;;+;-;SCO4478;transferase;6;8;1;0,75;-0,415037499
;5066624;5067004;;+;-;SCO4642;hypothetical protein;6;8;1;0,75;-0,415037499
;5170780;5171655;;+;-;SCO4759;hypothetical protein;6;8;1;0,75;-0,415037499
;5461950;5460757;;-;-;SCO5027;hypothetical protein;6;8;1;0,75;-0,415037499
;6563093;6562884;;-;-;SCO5987;hypothetical protein;6;8;1;0,75;-0,415037499
;7053460;7051526;;-;-;SCO6385;hypothetical protein;6;8;1;0,75;-0,415037499
;7123131;7123883;;+;-;SCO6440;hypothetical protein;6;8;1;0,75;-0,415037499
;8100432;8099128;;-;-;SCO7294;hypothetical protein;6;8;1;0,75;-0,415037499
;8433208;8431787;;-;-;SCO7605;metallopeptidase;6;8;1;0,75;-0,415037499
;132693;133520;;+;-;SCO0140;MerR family transcriptional regulator;7;8;1;0,875;-0,192645078
;1107018;1108091;;+;-;SCO1051;hypothetical protein;7;8;1;0,875;-0,192645078
;6844468;6845118;;+;-;SCO6223;hypothetical protein;7;8;1;0,875;-0,192645078
;7252420;7250906;;-;-;SCO6553;integral membrane efflux protein;7;8;1;0,875;-0,192645078
;7743884;7742010;;-;-;SCO6975;acetolactate synthase;7;8;1;0,875;-0,192645078
;7757431;7756901;;-;-;SCO6989;hypothetical protein;7;8;1;0,875;-0,192645078
;8031982;8033013;;+;-;SCO7227;hypothetical protein;7;8;1;0,875;-0,192645078
;618788;617913;;-;-;SCO0576;oxidoreductase;8;8;1;1;0
;742083;740314;;-;-;SCO0700;ABC transporter ATP-binding protein;8;8;1;1;0
;2002980;2001886;;-;-;SCO1868;hypothetical protein;8;8;1;1;0
;2596787;2597419;;+;-;SCO2423;hypothetical protein;8;8;1;1;0
;3931893;3930322;;-;-;SCO3556;secretory protein;8;8;1;1;0
;3981350;3979806;;-;-;SCO3603;potassium/proton antiporter;8;8;1;1;0
;4836769;4836101;;-;-;SCO4418;oxidase;8;8;1;1;0
;5607238;5606015;;-;-;SCO5159;integral membrane transport protein;8;8;1;1;0
;5903010;5901634;;-;-;SCO5430;extracellular solute-binding lipoprotein;8;8;1;1;0
;5916919;5914595;;-;-;SCO5440;glycogen branching protein;8;8;1;1;0
;6994433;6991755;;-;-;SCO6334;transcriptional regulator;8;8;1;1;0
;7572801;7572343;;-;-;SCO6810;hypothetical protein;8;8;1;1;0
;8083531;8082329;;-;-;SCO7274;hypothetical protein;8;8;1;1;0
;8448644;8447193;;-;-;SCO7622;NAD(P) transhydrogenase subunit beta;8;8;1;1;0
;445611;446144;;+;-;SCO0428;tetR family transcriptional regulator;9;8;1;1,125;0,169925001
;1821710;1820559;;-;-;SCO1701;acyl-CoA dehydrogenase;9;8;1;1,125;0,169925001
;2640001;2642232;;+;-;SCO2454;hypothetical protein;9;8;1;1,125;0,169925001
;2947370;2947104;;-;-;SCO2705;hypothetical protein;9;8;1;1,125;0,169925001
;3215057;3214479;;-;-;SCO2957;hypothetical protein;9;8;1;1,125;0,169925001
;4430162;4429662;;-;-;SCO4032;marR regulatory protein;9;8;1;1,125;0,169925001
;4902880;4903482;;+;-;SCO4483;hypothetical protein;9;8;1;1,125;0,169925001
;5049466;5049197;;-;-;SCO4627;hypothetical protein;9;8;1;1,125;0,169925001
;7090613;7091761;;+;-;SCO6421;two-component system sensor kinase;9;8;1;1,125;0,169925001
;7541619;7541152;;-;-;SCO6783;hypothetical protein;9;8;1;1,125;0,169925001
;8060385;8058466;;-;-;SCO7250;hypothetical protein;9;8;1;1,125;0,169925001
;8074183;8075100;;+;-;SCO7264;oxidoreductase;9;8;1;1,125;0,169925001
;8141513;8139603;;-;-;SCO7329;long-chain-fatty-acid-CoA ligase;9;8;1;1,125;0,169925001
;8614045;8613848;;-;-;SCO7788;hypothetical protein;9;8;1;1,125;0,169925001
3481912;;;3481839;-;-;SCOt26;Ala tRNA;9;8;1;1,125;0,169925001
;873517;874473;;+;-;SCO0825;transmembrane transport protein;10;8;1;1,25;0,321928095
;3869381;3867696;;-;-;SCO3501;hypothetical protein;10;8;1;1,25;0,321928095
;6172204;6172662;;+;-;SCO5672;hypothetical protein;10;8;1;1,25;0,321928095
;6990734;6990537;;-;-;SCO6332;hypothetical protein;10;8;1;1,25;0,321928095
;3106233;3105013;;-;-;SCO2846;transcriptional regulator;11;8;1;1,375;0,459431619
;4503476;4502820;;-;-;SCO4104;hypothetical protein;11;8;1;1,375;0,459431619
;4880076;4879075;;-;-;SCO4457;hypothetical protein;11;8;1;1,375;0,459431619
;5108129;5107257;;-;-;SCO4676;hypothetical protein;11;8;1;1,375;0,459431619
;7022727;7024016;;+;-;SCO6362;two-component sensor;11;8;1;1,375;0,459431619
;7980885;7978957;;-;-;SCO7179;amidase;11;8;1;1,375;0,459431619
;2396807;2395074;;-;-;SCO2228;alpha-glucosidase;12;8;1;1,5;0,584962501
;7478448;7479494;;+;-;SCO6723;oxidoreductase;12;8;1;1,5;0,584962501
;8094562;8094134;;-;-;SCO7289;regulator;12;8;1;1,5;0,584962501
;238251;237664;;-;-;SCO0248;hypothetical protein;13;8;1;1,625;0,700439718
;458695;457670;;-;-;SCO0437;hypothetical protein;13;8;1;1,625;0,700439718
;3177048;3175582;;-;-;SCO2925;oxidoreductase subunit;13;8;1;1,625;0,700439718
;4649833;4648427;;-;-;SCO4242;hypothetical protein;13;8;1;1,625;0,700439718
;6184114;6183701;;-;-;SCO5680;cytidine deaminase;13;8;1;1,625;0,700439718
;6815349;6814657;;-;-;SCO6200;hypothetical protein;13;8;1;1,625;0,700439718
;7740392;7739853;;-;-;SCO6972;hypothetical protein;13;8;1;1,625;0,700439718
;7810502;7811068;;+;-;SCO7024;acetyltransferase;13;8;1;1,625;0,700439718
;8072654;8072211;;-;-;SCO7261;hypothetical protein;13;8;1;1,625;0,700439718
;3791176;3791412;;+;rpmB;SCO3429;50S ribosomal protein L28;14;8;1;1,75;0,807354922
;4650402;4649830;;-;-;SCO4243;hypothetical protein;14;8;1;1,75;0,807354922
;2714775;2713432;;-;-;SCO2518;two-component sensor kinase;15;8;1;1,875;0,906890596
;6408122;6408970;;+;-;SCO5852;tagatose-bisphosphate aldolase;15;8;1;1,875;0,906890596
4466025;;;4465950;-;-;SCOt39;Gly tRNA;15;8;1;1,875;0,906890596
;1555507;1554266;;-;-;SCO1457;transporter;16;8;1;2;1
;4189937;4190881;;+;-;SCO3811;D-alanyl-D-alanine carboxypeptidase;17;8;1;2,125;1,087462841
;4654775;4652844;;-;-;SCO4246;hypothetical protein;17;8;1;2,125;1,087462841
;6622617;6621097;;-;-;SCO6032;hydrolase;17;8;1;2,125;1,087462841
;4904976;4905383;;+;-;SCO4486;hypothetical protein;18;8;1;2,25;1,169925001
;7599249;7600730;;+;-;SCO6828;hypothetical protein;18;8;1;2,25;1,169925001
;7680447;7679755;;-;-;SCO6916;hypothetical protein;18;8;1;2,25;1,169925001
;786409;786125;;-;-;SCO0743;hypothetical protein;19;8;1;2,375;1,247927513
;3793668;3792412;;-;-;SCO3432;hypothetical protein;19;8;1;2,375;1,247927513
;4571295;4571696;;+;-;SCO4154;hypothetical protein;19;8;1;2,375;1,247927513
;8081558;8081175;;-;-;SCO7272;isomerase;19;8;1;2,375;1,247927513
;1846435;1847529;;+;-;SCO1726;ATPase;25;8;1;3,125;1,64385619
;909472;908813;908813;-;-;SCO0862;hypothetical protein;26;8;0,031268708;3,25;1,700439718
;1835784;1837109;;+;-;SCO1715;homogentisate 1,2-dioxygenase;28;8;8,34E-04;3,5;1,807354922
;187459;187019;;-;-;SCO0197;hypothetical protein;85;8;7,08E-23;10,625;3,409390936
;200024;200428;;+;-;SCO0209;hypothetical protein;181;8;1,61E-121;22,625;4,499845887
191654;191654;190983;190983;-;-;SCO0201;hypothetical protein;335;8;0;41,875;5,388017285
;6474436;6474317;;-;-;SCO5907;hypothetical protein;1;9;1;0,111111111;-3,169925001
;5514323;5515246;;+;-;SCO5072;hydroxylacyl-CoA dehydrogenase;1;9;1;0,111111111;-3,169925001
;8383428;8382232;;-;-;SCO7559;sugar hydrolase;2;9;1;0,222222222;-2,169925001
;176501;177496;;+;-;SCO0187;phytoene synthase;3;9;1;0,333333333;-1,584962501
;1715196;1715549;;+;-;SCO1605;hypothetical protein;3;9;1;0,333333333;-1,584962501
;3880083;3881228;;+;-;SCO3511;lipoprotein;3;9;1;0,333333333;-1,584962501
;4923031;4924959;;+;-;SCO4503;long-chain-fatty acid CoA ligase;3;9;1;0,333333333;-1,584962501
;6019984;6021660;;+;ureC;SCO5526;urease subunit alpha;3;9;1;0,333333333;-1,584962501
;6731917;6732270;;+;-;SCO6130;hypothetical protein;3;9;1;0,333333333;-1,584962501
;7067650;7068003;;+;-;SCO6402;hypothetical protein;3;9;1;0,333333333;-1,584962501
;7985081;7986271;;+;-;SCO7185;branched amino acid binding hypothetical protein;3;9;1;0,333333333;-1,584962501
;8392352;8393143;;+;-;SCO7569;hypothetical protein;3;9;1;0,333333333;-1,584962501
;8471165;8471530;;+;-;SCO7642;hypothetical protein;3;9;1;0,333333333;-1,584962501
;43768;43857;;+;-;SCO0056;hypothetical protein;4;9;1;0,444444444;-1,169925001
;421712;422263;;+;-;SCO0400;epimerase;4;9;1;0,444444444;-1,169925001
;833261;833800;;+;-;SCO0786;hypothetical protein;4;9;1;0,444444444;-1,169925001
;955864;957204;;+;-;SCO0911;hypothetical protein;4;9;1;0,444444444;-1,169925001
;1041692;1043245;;+;-;SCO0987;hypothetical protein;4;9;1;0,444444444;-1,169925001
;3477664;3476105;;-;-;SCO3172;monooxygenase;4;9;1;0,444444444;-1,169925001
;4390122;4390649;;+;-;SCO3995;partial replication initiator protein;4;9;1;0,444444444;-1,169925001
;5677676;5678932;;+;-;SCO5219;lipoprotein;4;9;1;0,444444444;-1,169925001
;7625557;7625841;;+;-;SCO6853;hypothetical protein;4;9;1;0,444444444;-1,169925001
;8146684;8145323;;-;-;SCO7333;hypothetical protein;4;9;1;0,444444444;-1,169925001
;861242;863281;;+;-;SCO0813;short chain dehydrogenase;5;9;1;0,555555556;-0,847996907
;892672;892238;;-;-;SCO0843;hypothetical protein;5;9;1;0,555555556;-0,847996907
;1524785;1526038;;+;-;SCO1429;chitinase;5;9;1;0,555555556;-0,847996907
;2010038;2010712;;+;-;SCO1877;hypothetical protein;5;9;1;0,555555556;-0,847996907
;5248573;5247215;;-;-;SCO4817;Ser/Thr protein kinase;5;9;1;0,555555556;-0,847996907
;6567071;6567973;;+;-;SCO5994;integral membrane cytochrome biogenesis protein;5;9;1;0,555555556;-0,847996907
;6768481;6769299;;+;-;SCO6166;hypothetical protein;5;9;1;0,555555556;-0,847996907
;8616050;8614845;;-;-;SCO7791;oxidoreductase;5;9;1;0,555555556;-0,847996907
;659143;660528;;+;-;SCO0618;hypothetical protein;6;9;1;0,666666667;-0,584962501
;1262121;1262546;;+;-;SCO1189;hypothetical protein;6;9;1;0,666666667;-0,584962501
;2187163;2186336;;-;-;SCO2035;hypothetical protein;6;9;1;0,666666667;-0,584962501
;2432297;2432911;;+;-;SCO2263;hypothetical protein;6;9;1;0,666666667;-0,584962501
;2987096;2986899;;-;-;SCO2739;hypothetical protein;6;9;1;0,666666667;-0,584962501
;3910139;3908520;;-;-;SCO3540;proteinase;6;9;1;0,666666667;-0,584962501
;5937594;5938532;;+;-;SCO5452;ABC transporter ATP-binding protein;6;9;1;0,666666667;-0,584962501
;6629631;6628480;;-;-;SCO6038;hypothetical protein;6;9;1;0,666666667;-0,584962501
;6729231;6730739;;+;-;SCO6127;carboxylesterase;6;9;1;0,666666667;-0,584962501
;6907356;6900898;;-;-;SCO6273;type I polyketide synthase;6;9;1;0,666666667;-0,584962501
;8542150;8543340;;+;-;SCO7705;oxidoreductase;6;9;1;0,666666667;-0,584962501
;8594110;8594421;;+;-;SCO7764;hypothetical protein;6;9;1;0,666666667;-0,584962501
;1050595;1051344;;+;-;SCO0995;methyltransferase;7;9;1;0,777777778;-0,362570079
;1804067;1802529;;-;-;SCO1683;amino acid permease;7;9;1;0,777777778;-0,362570079
;2621091;2622488;;+;-;SCO2443;hypothetical protein;7;9;1;0,777777778;-0,362570079
;2960928;2960170;;-;-;SCO2716;hypothetical protein;7;9;1;0,777777778;-0,362570079
;3781328;3782755;;+;-;SCO3416;glutamate decarboxylase;7;9;1;0,777777778;-0,362570079
;5406195;5407688;;+;-;SCO4971;dehydrogenase;7;9;1;0,777777778;-0,362570079
;6470874;6470494;;-;-;SCO5904;hypothetical protein;7;9;1;0,777777778;-0,362570079
;7782661;7784535;;+;-;SCO7008;ABC transporter ATP-binding protein;7;9;1;0,777777778;-0,362570079
;225276;224404;;-;-;SCO0236;DNA-binding protein;8;9;1;0,888888889;-0,169925001
;701709;703604;;+;-;SCO0664;hypothetical protein;8;9;1;0,888888889;-0,169925001
;804091;805122;;+;-;SCO0759;hypothetical protein;8;9;1;0,888888889;-0,169925001
;837541;838680;;+;-;SCO0791;hypothetical protein;8;9;1;0,888888889;-0,169925001
;1646910;1645999;;-;-;SCO1537;transport system membrane protein;8;9;1;0,888888889;-0,169925001
;1805142;1804126;;-;-;SCO1684;hypothetical protein;8;9;1;0,888888889;-0,169925001
;3863927;3863148;;-;-;SCO3497;polyguluronate lyase;8;9;1;0,888888889;-0,169925001
;5244607;5243963;;-;-;SCO4815;hypothetical protein;8;9;1;0,888888889;-0,169925001
;5453774;5453983;;+;-;SCO5018;hypothetical protein;8;9;1;0,888888889;-0,169925001
;5795157;5795837;;+;-;SCO5324;oxidoreductase;8;9;1;0,888888889;-0,169925001
;6858440;6859594;;+;-;SCO6234;beta-mannosidase;8;9;1;0,888888889;-0,169925001
;7051151;7049382;;-;-;SCO6384;integral membrane lysyl-tRNA synthetase;8;9;1;0,888888889;-0,169925001
;8195889;8197229;;+;-;SCO7384;transmembrane transport protein;8;9;1;0,888888889;-0,169925001
;8442160;8439704;;-;-;SCO7613;hypothetical protein;8;9;1;0,888888889;-0,169925001
;222538;221699;;-;-;SCO0233;DNA-binding protein;9;9;1;1;0
;252879;251764;;-;-;SCO0263;oxidoreductase;9;9;1;1;0
;296305;294494;;-;-;SCO0300;monooxygenase;9;9;1;1;0
;391232;391834;;+;-;SCO0376;transcriptional regulator;9;9;1;1;0
;1549133;1547982;;-;-;SCO1451;endoglucanase;9;9;1;1;0
;3203507;3202209;;-;-;SCO2946;sugar transporter sugar-binding protein;9;9;1;1;0
;4079089;4079502;;+;-;SCO3700;heavy metal reductase;9;9;1;1;0
;4109905;4109279;;-;-;SCO3737;lipoprotein;9;9;1;1;0
;4339146;4338034;;-;-;SCO3943;transcriptional regulator;9;9;1;1;0
;4586586;4587461;;+;-;SCO4172;hypothetical protein;9;9;1;1;0
;5741653;5742078;;+;-;SCO5276;hypothetical protein;9;9;1;1;0
;6875083;6876336;;+;-;SCO6253;two-component sensor kinase;9;9;1;1;0
;45267;46073;;+;-;SCO0059;zinc-binding oxidoreductase;10;9;1;1,111111111;0,152003093
;3101196;3100609;;-;-;SCO2839;lipoprotein;10;9;1;1,111111111;0,152003093
;4445276;4447045;;+;-;SCO4053;transport integral membrane protein;10;9;1;1,111111111;0,152003093
;6823744;6824145;;+;-;SCO6210;hypothetical protein;10;9;1;1,111111111;0,152003093
;7146169;7147047;;+;-;SCO6458;hypothetical protein;10;9;1;1,111111111;0,152003093
;7749062;7750054;;+;-;SCO6981;ABC transporter ATP-binding protein;10;9;1;1,111111111;0,152003093
;8603181;8603747;;+;-;SCO7775;hypothetical protein;10;9;1;1,111111111;0,152003093
;615151;613751;;-;-;SCO0572;cytosine permease;11;9;1;1,222222222;0,289506617
;3962279;3963043;;+;-;SCO3583;integral membrane regulator;11;9;1;1,222222222;0,289506617
;7068598;7068218;;-;-;SCO6403;hypothetical protein;11;9;1;1,222222222;0,289506617
;7541155;7540064;;-;-;SCO6782;zinc-binding alcohol dehydrogenase;11;9;1;1,222222222;0,289506617
;7790082;7789123;;-;-;SCO7012;binding protein dependent transport protein;11;9;1;1,222222222;0,289506617
;8275533;8274847;;-;-;SCO7461;hydrolase;11;9;1;1,222222222;0,289506617
;8451080;8452201;;+;-;SCO7625;monooxygenase;11;9;1;1,222222222;0,289506617
;333529;334149;;+;-;SCO0332;transcriptional regulator;12;9;1;1,333333333;0,415037499
;1196781;1197779;;+;-;SCO1138;hypothetical protein;12;9;1;1,333333333;0,415037499
;3294226;3295215;;+;-;SCO3018;regulatory protein;12;9;1;1,333333333;0,415037499
;5199496;5201109;;+;gabD2;SCO4780;succinic semialdehyde dehydrogenase;12;9;1;1,333333333;0,415037499
;5395822;5395316;;-;-;SCO4960;sigma factor;12;9;1;1,333333333;0,415037499
;5886499;5885486;;-;-;SCO5416;transcriptional regulator;12;9;1;1,333333333;0,415037499
;6968472;6967471;;-;-;SCO6308;hydrolase;12;9;1;1,333333333;0,415037499
;7766112;7762852;;-;-;SCO6994;hypothetical protein;12;9;1;1,333333333;0,415037499
;8111687;8113360;;+;-;SCO7304;FAD-binding dehydrogenase;12;9;1;1,333333333;0,415037499
;8450224;8448650;;-;pntA;SCO7623;NAD(P) transhydrogenase subunit alpha;12;9;1;1,333333333;0,415037499
;1320960;1320586;;-;-;SCO1248;hypothetical protein;13;9;1;1,444444444;0,530514717
;4981949;4983271;;+;-;SCO4565;NADH dehydrogenase subunit D;13;9;1;1,444444444;0,530514717
;6775270;6777756;;+;-;SCO6172;oxidoreductase;13;9;1;1,444444444;0,530514717
;8095633;8094656;;-;-;SCO7290;dehydrogenase;13;9;1;1,444444444;0,530514717
;460367;459393;;-;-;SCO0439;hypothetical protein;14;9;1;1,555555556;0,637429921
;2297470;2296454;;-;-;SCO2135;hypothetical protein;14;9;1;1,555555556;0,637429921
;4981197;4981952;;+;-;SCO4564;NADH dehydrogenase subunit C;14;9;1;1,555555556;0,637429921
;5992465;5995740;;+;-;SCO5506;regulatory protein;14;9;1;1,555555556;0,637429921
;1756582;1757634;;+;-;SCO1642;LacI family regulator;15;9;1;1,666666667;0,736965594
;2576928;2578505;;+;-;SCO2405;sugar-transport ATP binding protein;15;9;1;1,666666667;0,736965594
;2681005;2681772;;+;-;SCO2490;dehydrogenase;15;9;1;1,666666667;0,736965594
;3293063;3294226;;+;-;SCO3017;hypothetical protein;15;9;1;1,666666667;0,736965594
;6549048;6550304;;+;-;SCO5975;arginine deiminase;15;9;1;1,666666667;0,736965594
;7166743;7167336;;+;-;SCO6476;adenylosuccinate lyase;15;9;1;1,666666667;0,736965594
;506670;505447;;-;-;SCO0486;monooxygenase;16;9;1;1,777777778;0,830074999
;1430469;1429057;;-;-;SCO1352;Xaa-Pro aminopeptidase II;16;9;1;1,777777778;0,830074999
;4011323;4012942;;+;-;SCO3634;ABC transporter membrane-spanning protein;16;9;1;1,777777778;0,830074999
;4562289;4559965;;-;-;SCO4145;polyphosphate kinase;16;9;1;1,777777778;0,830074999
;5779410;5780234;;+;-;SCO5307;hypothetical protein;16;9;1;1,777777778;0,830074999
;462854;463711;;+;-;SCO0443;hypothetical protein;18;9;1;2;1
;6095669;6094782;;-;-;SCO5589;hypothetical protein;18;9;1;2;1
;6752734;6753294;;+;-;SCO6151;methylated-DNA-protein-cysteine methyltransferase;18;9;1;2;1
;7836730;7837104;;+;ccrB;SCO7046;camphor resistance protein CrcB;18;9;1;2;1
;4035120;4033456;;-;-;SCO3655;spermidine synthase;19;9;1;2,111111111;1,078002512
;4103080;4102349;;-;-;SCO3728;hypothetical protein;19;9;1;2,111111111;1,078002512
;2619547;2620149;;+;-;SCO2441;hypothetical protein;21;9;1;2,333333333;1,222392421
;3477824;3478471;;+;-;SCO3173;MerR family transcriptional regulator;21;9;1;2,333333333;1,222392421
;5738498;5741521;;+;-;SCO5275;ATP/GTP binding protein;21;9;1;2,333333333;1,222392421
8177471;8177471;8176680;;-;-;SCO7363;oxidoreductase;21;9;1;2,333333333;1,222392421
4079863;4079863;4080510;4080510;+;-;SCO3702;DNA-binding protein;22;9;1;2,444444444;1,289506617
;6517425;6517973;6517973;+;-;SCO5949;hypothetical protein;25;9;1;2,777777778;1,473931188
2048108;2048108;2047611;;-;-;SCO1911;hypothetical protein;29;9;0,042640063;3,222222222;1,688055994
4616019;4616019;4616486;;+;-;SCO4207;hypothetical protein;29;9;0,03696591;3,222222222;1,688055994
1650311;1650311;1650790;;+;-;SCO1541;regulator;31;9;0,026603372;3,444444444;1,784271309
;256281;256442;;+;-;SCO0268;hypothetical protein;34;9;0,096819074;3,777777778;1,91753784
8285601;8285601;8286428;;+;-;SCO7473;phenylacetic acid degradation protein PaaC;67;9;1,26E-18;7,444444444;2,896164189
;158073;157189;;-;-;SCO0167;hypothetical protein;267;9;0;29,66666667;4,89077093
;22843;23061;;+;-;SCO0025;IS element ATP-binding protein;1;10;1;0,1;-3,321928095
;4075130;4074756;;-;-;SCO3694;transcriptional regulator;2;10;1;0,2;-2,321928095
;8081893;8082303;;+;-;SCO7273;hypothetical protein;2;10;1;0,2;-2,321928095
;88632;87907;;-;-;SCO0105;endo-1,4-beta-xylanase;4;10;1;0,4;-1,321928095
;3378513;3377344;;-;-;SCO3084;4-hydroxybenzoate 3-monooxygenase;4;10;1;0,4;-1,321928095
;4754290;4753436;;-;-;SCO4339;reductase;4;10;1;0,4;-1,321928095
;7259479;7258619;;-;-;SCO6559;respiratory chain oxidoreductase;4;10;1;0,4;-1,321928095
;7876051;7875374;;-;-;SCO7088;two-component system response regulator;4;10;1;0,4;-1,321928095
;8013374;8011635;;-;-;SCO7211;glycosyl hydrolase;4;10;1;0,4;-1,321928095
;726808;726401;;-;-;SCO0685;hypothetical protein;5;10;1;0,5;-1
;2121240;2120551;;-;-;SCO1983;hypothetical protein;5;10;1;0,5;-1
;4437234;4437938;;+;-;SCO4044;hypothetical protein;5;10;1;0,5;-1
;5630923;5629373;;-;-;SCO5180;peptidase;5;10;1;0,5;-1
;120457;121371;;+;-;SCO0130;beta-lactamase;6;10;1;0,6;-0,736965594
;630912;629185;;-;-;SCO0588;sensor kinase;6;10;1;0,6;-0,736965594
;4033367;4032042;;-;-;SCO3654;two-component system sensor kinase;6;10;1;0,6;-0,736965594
;6777908;6779365;;+;-;SCO6173;permease SC6C509;6;10;1;0,6;-0,736965594
;7407651;7405534;;-;-;SCO6666;hypothetical protein;6;10;1;0,6;-0,736965594
;7440206;7438926;;-;-;SCO6690;transmembrane transport protein;6;10;1;0,6;-0,736965594
;7463815;7461626;;-;-;SCO6710;glycosyl hydrolase;6;10;1;0,6;-0,736965594
;8150771;8150499;;-;-;SCO7336;hypothetical protein;6;10;1;0,6;-0,736965594
;8307055;8306615;;-;-;SCO7494;hypothetical protein;6;10;1;0,6;-0,736965594
;456192;457397;;+;-;SCO0435;aminotransferase;7;10;1;0,7;-0,514573173
;465861;465496;;-;-;SCO0446;hypothetical protein;7;10;1;0,7;-0,514573173
;506842;507348;;+;-;SCO0487;MarR family transcriptional regulator;7;10;1;0,7;-0,514573173
;5306624;5307574;;+;-;SCO4875;sugar transferase;7;10;1;0,7;-0,514573173
;6015052;6015183;;+;-;SCO5521;hypothetical protein;7;10;1;0,7;-0,514573173
;6821421;6820531;;-;-;SCO6205;dehydrogenase;7;10;1;0,7;-0,514573173
;8271528;8271037;;-;-;SCO7456;hypothetical protein;7;10;1;0,7;-0,514573173
;498238;498630;;+;-;SCO0477;hypothetical protein;8;10;1;0,8;-0,321928095
;1442030;1441026;;-;-;SCO1363;hypothetical protein;8;10;1;0,8;-0,321928095
;1847564;1848331;;+;-;SCO1727;hypothetical protein;8;10;1;0,8;-0,321928095
;2154331;2155047;;+;-;SCO2012;branched-chain amino acid ABC transporter ATP-binding protein;8;10;1;0,8;-0,321928095
;4429648;4427069;;-;-;SCO4031;integral membrane transport protein;8;10;1;0,8;-0,321928095
;5507768;5504937;;-;-;SCO5065;transcriptional regulator;8;10;1;0,8;-0,321928095
;6864326;6864658;;+;-;SCO6241;hypothetical protein;8;10;1;0,8;-0,321928095
;7699873;7700322;;+;-;SCO6933;hypothetical protein;8;10;1;0,8;-0,321928095
;246868;247869;;+;-;SCO0257;hypothetical protein;9;10;1;0,9;-0,152003093
;791535;790561;;-;-;SCO0749;dehydratase;9;10;1;0,9;-0,152003093
;1642515;1642057;;-;-;SCO1535;hypothetical protein;9;10;1;0,9;-0,152003093
;6230274;6229321;;-;-;SCO5714;peptide transport permease;9;10;1;0,9;-0,152003093
;8180842;8179502;;-;-;SCO7367;membrane efflux protein;9;10;1;0,9;-0,152003093
;1046251;1047114;;+;-;SCO0991;hypothetical protein;10;10;1;1;0
;1231648;1233093;;+;-;SCO1170;xylulose kinase;10;10;1;1;0
;1883621;1884016;;+;-;SCO1763;iron-sulfur protein;10;10;1;1;0
;2394982;2394422;;-;-;SCO2227;acetyltransferase;10;10;1;1;0
;4453855;4453499;;-;-;SCO4063;hypothetical protein;10;10;1;1;0
;5166604;5167686;;+;-;SCO4755;transcriptional regulator;10;10;1;1;0
;6462296;6463483;;+;-;SCO5897;oxidase;10;10;1;1;0
;6476991;6475426;;-;-;SCO5911;oligopeptide binding protein;10;10;1;1;0
;7204835;7203714;;-;-;SCO6513;hypothetical protein;10;10;1;1;0
;958016;958987;;+;-;SCO0913;hypothetical protein;11;10;1;1,1;0,137503524
;1334793;1335743;;+;-;SCO1264;hydrolase;11;10;1;1,1;0,137503524
;5651299;5649971;;-;-;SCO5193;hypothetical protein;11;10;1;1,1;0,137503524
;7844776;7845501;;+;-;SCO7055;methyltransferase;11;10;1;1,1;0,137503524
;3535848;3535054;;-;-;SCO3223;ABC transporter;12;10;1;1,2;0,263034406
;4524821;4526149;;+;-;SCO4119;NADH dehydrogenase;12;10;1;1,2;0,263034406
;5252229;5250091;;-;-;SCO4820;Ser/Thr protein kinase;12;10;1;1,2;0,263034406
;7237214;7237894;;+;-;SCO6544;hypothetical protein;12;10;1;1,2;0,263034406
;7334332;7333403;;-;-;SCO6612;hydrolase;12;10;1;1,2;0,263034406
;7433569;7437084;;+;-;SCO6688;hypothetical protein;12;10;1;1,2;0,263034406
;5709624;5711030;;+;-;SCO5249;nucleotide-binding protein;13;10;1;1,3;0,378511623
;6854701;6857163;;+;-;SCO6232;beta-mannosidase;13;10;1;1,3;0,378511623
;139467;139712;;+;-;SCO0148;transcriptional regulator;14;10;1;1,4;0,485426827
;229995;230669;;+;-;SCO0241;transcriptional regulator;14;10;1;1,4;0,485426827
;2264828;2266033;;+;-;SCO2107;oxidoreductase;14;10;1;1,4;0,485426827
;4421136;4422659;;+;-;SCO4024;integral membrane efflux protein;14;10;1;1,4;0,485426827
;7174911;7177493;;+;-;SCO6484;hypothetical protein;15;10;1;1,5;0,584962501
;350201;349419;;-;-;SCO0345;IclR family regulatory protein;16;10;1;1,6;0,678071905
;3004794;3006641;;+;-;SCO2758;beta-N-acetylglucosaminidase;16;10;1;1,6;0,678071905
